_id_x,trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint,_id_y,route_id,service_id,trip_headsign,direction_id,block_id,shape_id,_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
6189,4461827-2024-JUN-FINAL-Weekday-01,09:16:00,09:18:00,3419,24,0,0,3.745,1,161,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577931,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6227,4461828-2024-JUN-FINAL-Weekday-01,09:31:00,09:33:00,3419,24,0,0,3.745,1,162,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577948,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6265,4461829-2024-JUN-FINAL-Weekday-01,09:46:00,09:48:00,3419,24,0,0,3.745,1,163,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577936,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6303,4461830-2024-JUN-FINAL-Weekday-01,10:01:00,10:03:00,3419,24,0,0,3.745,1,164,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577954,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6341,4461831-2024-JUN-FINAL-Weekday-01,10:16:00,10:18:00,3419,24,0,0,3.745,1,165,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577972,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6379,4461832-2024-JUN-FINAL-Weekday-01,10:31:00,10:33:00,3419,24,0,0,3.745,1,166,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577988,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6417,4461833-2024-JUN-FINAL-Weekday-01,10:46:00,10:48:00,3419,24,0,0,3.745,1,167,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577931,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6455,4461834-2024-JUN-FINAL-Weekday-01,11:01:00,11:03:00,3419,24,0,0,3.745,1,168,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577948,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6493,4461835-2024-JUN-FINAL-Weekday-01,11:16:00,11:18:00,3419,24,0,0,3.745,1,169,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577936,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6531,4461836-2024-JUN-FINAL-Weekday-01,11:31:00,11:33:00,3419,24,0,0,3.745,1,170,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577954,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6569,4461837-2024-JUN-FINAL-Weekday-01,11:46:00,11:48:00,3419,24,0,0,3.745,1,171,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577972,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6607,4461838-2024-JUN-FINAL-Weekday-01,12:01:00,12:03:00,3419,24,0,0,3.745,1,172,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577988,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6645,4461839-2024-JUN-FINAL-Weekday-01,12:16:00,12:18:00,3419,24,0,0,3.745,1,173,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577931,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
