_id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
223,1429,1429,Richmond Hwy & Sisco,,  37.468994, -77.443465,,,0,
224,143,143,4th & Juniper,,  37.561981, -77.421291,,,0,
225,1430,1430,Richmond Hwy & Stockton,,  37.515295, -77.448115,,,0,
226,1431,1431,Richmond Hwy & Stockton,,  37.515602, -77.448487,,,0,
227,1432,1432,Richmond Hwy & Summer Hill,,  37.480779, -77.444281,,,0,
228,1433,1433,Richmond Hwy & Summer Hill,,  37.481168, -77.444805,,,0,
229,1434,1434,Richmond Hwy & Terminal,,  37.483105, -77.444880,,,0,
230,1435,1435,Richmond Hwy & Terminal,,  37.482535, -77.444404,,,0,
231,1436,1436,Richmond Hwy & Walmsley,,  37.461418, -77.442263,,,0,
232,1437,1437,Richmond Hwy & Walmsley,,  37.460368, -77.442713,,,0,
233,144,144,4th & Juniper,,  37.562258, -77.421277,,,0,
234,1440,1440,Richmond Hwy & Webber,,  37.496084, -77.446250,,,0,
235,1441,1441,Richmond Hwy & Webber,,  37.495723, -77.445875,,,0,
236,1442,1442,Richmond Hwy at 1319,,  37.501841, -77.446550,,,0,
237,1443,1443,Richmond Hwy & Yorktown,,  37.486945, -77.444930,,,0,
238,1444,1444,Richmond Hwy & Yorktown,,  37.486615, -77.445234,,,0,
239,1445,1445,Jennie Scher & Accomac,,  37.522022, -77.399933,,,0,
240,1447,1447,Jennie Scher & Central,,  37.523894, -77.396523,,,0,
241,145,145,4th & Magnolia,,  37.564527, -77.419371,,,0,
242,1452,1452,Kane & 29th,,  37.546696, -77.397805,,,0,
243,1453,1453,Klockner at PCI of VA INC,,  37.513917, -77.361978,,,0,
244,1454,1454,Klockner at PCI of VA INC,,  37.513805, -77.362306,,,0,
245,1455,1455,Route 1 & Food Lion,,  37.446294, -77.441158,,,0,
246,1459,1459,Laburnum & Alma,,  37.584985, -77.436670,,,0,
247,146,146,4th & Magnolia,,  37.564820, -77.419321,,,0,
248,1460,1460,Laburnum & Alma,,  37.584818, -77.435031,,,0,
249,1461,1461,Laburnum & Colwyck,,  37.541536, -77.368474,,,0,
250,1462,1462,Laburnum & Colwyck,,  37.541749, -77.368245,,,0,
251,1463,1463,Laburnum & Fauquier,,  37.584557, -77.451885,,,0,
